quanta_author,quanta_pub_date,quanta_title,arxiv_id,title,authors,original_submission_date,most_recent_update_date,primary_subject,secondary_subject,primary-MSC,secondary_MSC
['Erica Klarreich'],2023-01-19,Mathematicians Roll Dice and Get Rock-Paper-Scissors,1311.6511,Intransitive Dice,"['Liu, Andrew', 'Conrey, Brian', 'Gabbard, James', 'Grant, Katie', 'Morrison, Kent']",2013/11/25,2016/07/07,['Combinatorics (math.CO)'],['Probability (math.PR)'],60C05,[]
['Erica Klarreich'],2023-01-19,Mathematicians Roll Dice and Get Rock-Paper-Scissors,2211.16156,The probability that a random triple of dice is transitive,"['Polymath, D. H. J.']",2022/11/29,2022/11/29,['Combinatorics (math.CO)'],['Probability (math.PR)'],[],[]
['Erica Klarreich'],2023-01-19,Mathematicians Roll Dice and Get Rock-Paper-Scissors,2011.10067,Intransitive dice tournament is not quasirandom,"['Hązła, Jan', 'Cornacchia, Elisabetta']",2020/11/19,2020/11/19,['Probability (math.PR)'],['Combinatorics (math.CO)'],[],[]
['Ben Brubaker'],2023-03-02,Cryptographers Show How to Hide Invisible Backdoors in AI,2204.06974,Planting Undetectable Backdoors in Machine Learning Models,"['Zamir, Or', 'Vaikuntanathan, Vinod', 'Kim, Michael P.', 'Goldwasser, Shafi']",2022/04/14,2022/04/14,['Machine Learning (cs.LG)'],['Cryptography and Security (cs.CR)'],[],[]
['Ben Brubaker'],2023-03-02,Cryptographers Show How to Hide Invisible Backdoors in AI,2005.09595,Continuous LWE,"['Regev, Oded', 'Tang, Yi', 'Bruna, Joan', 'Song, Min Jae']",2020/05/19,2020/10/24,['Computational Complexity (cs.CC)'],"['Data Structures and Algorithms (cs.DS)', 'Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']",[],[]
['Leila Sloman'],2023-03-21,Surprise Computer Science Proof Stuns Mathematicians,2302.05537,Strong Bounds for 3-Progressions,"['Meka, Raghu', 'Kelley, Zander']",2023/02/10,2023/02/10,['Number Theory (math.NT)'],['Combinatorics (math.CO)'],[],[]
['Leila Sloman'],2023-03-21,Surprise Computer Science Proof Stuns Mathematicians,2302.07211,The Kelley--Meka bounds for sets free of three-term arithmetic progressions,"['Sisask, Olof', 'Bloom, Thomas F.']",2023/02/14,2023/02/14,['Number Theory (math.NT)'],['Combinatorics (math.CO)'],[],[]
['Lyndie Chiou'],2023-02-08,What Lights the Universe’s Standard Candles?,1409.3568,The Initiation and Propagation of Helium Detonations in White Dwarf Envelopes,"['Moore, Kevin', 'Shen, Ken J.']",2014/09/11,2014/10/16,['High Energy Astrophysical Phenomena (astro-ph.HE)'],['Solar and Stellar Astrophysics (astro-ph.SR)'],[],[]
['Lyndie Chiou'],2023-02-08,What Lights the Universe’s Standard Candles?,1804.11163,Three Hypervelocity White Dwarfs in Gaia DR2: Evidence for Dynamically Driven Double-Degenerate Double-Detonation Type Ia Supernovae,"['Schwab, Josiah', 'Siebert, Matthew R.', 'Jha, Saurabh W.', 'Maguire, Kate', 'Miles, Broxton', 'Kromer, Markus', 'Shen, Ken J.', 'Fraser, Morgan', 'Smith, Nathan', 'Badenes, Carles', 'Pakmor, Rüdiger', 'Toonen, Silvia', 'Strader, Jay', 'Kerzendorf, Wolfgang E.', 'Gänsicke, Boris T.', 'Foley, Ryan J.', 'Andrews, Jennifer E.', 'Guillochon, James', 'Koester, Detlev', 'Gromadzki, Mariusz', 'Boubert, Douglas', 'Kotze, Marissa M.', 'Townsley, Dean M.', 'Chomiuk, Laura', 'Williams, Brian J.', 'Toloza, Odette']",2018/04/30,2018/07/18,['Solar and Stellar Astrophysics (astro-ph.SR)'],['High Energy Astrophysical Phenomena (astro-ph.HE)'],[],[]
[],2023-03-08,Room-Temperature Superconductor Discovery Meets With Resistance,1808.07039,Superconductivity at 215 K in lanthanum hydride at high pressures,"['Besedin, S. P.', 'Minkov, V. S.', 'Knyazev, D. A.', 'Drozdov, A. P.', 'Kong, P. P.', 'Kuzovnikov, M. A.', 'Eremets, M. I.']",2018/08/21,2018/08/21,['Superconductivity (cond-mat.supr-con)'],['Materials Science (cond-mat.mtrl-sci)'],[],[]
[],2023-03-08,Room-Temperature Superconductor Discovery Meets With Resistance,1808.07695,Evidence for superconductivity above 260 K in lanthanum superhydride at megabar pressures,"['Struzhkin, Viktor V.', 'Hemley, Russell J.', 'Somayazulu, Maddury', 'Baldini, Maria', 'Ahart, Muhtar', 'Meng, Yue', 'Mishra, Ajay K', 'Geballe, Zachary M.']",2018/08/23,2018/08/29,['Materials Science (cond-mat.mtrl-sci)'],[],[],[]
[],2023-03-08,Room-Temperature Superconductor Discovery Meets With Resistance,2111.15017,Standard Superconductivity in Carbonaceous Sulfur Hydride,"['Dias, Ranga P.', 'Salamat, Ashkan']",2021/11/29,2021/12/25,['Superconductivity (cond-mat.supr-con)'],[],[],[]
[],2023-03-08,Room-Temperature Superconductor Discovery Meets With Resistance,2210.10766,"Vector graphics extraction and analysis of electrical resistance data in Nature volume 586, pages 373-377 (2020)","['Hamlin, James J.']",2022/10/19,2022/10/19,['Superconductivity (cond-mat.supr-con)'],[],[],[]
[],2023-03-08,Room-Temperature Superconductor Discovery Meets With Resistance,2302.08622,Observation of Conventional Near Room Temperature Superconductivity in Carbonaceous Sulfur Hydride,"['Kenney-Benson, Curtis', 'Snider, Elliot', 'Cortés, Sergio Villa', 'Salamat, Ashkan', 'Ahart, Muhtar', 'Dasenbrock-Gammon, Nathan', 'Pasan, Hiranya', 'Munasinghe, Sasanka', 'Dias, Ranga P.', 'Park, Changyong', 'Hemley, Russell J.', 'Liu, Zhenxian', 'Lawler, Keith V.', 'Chariton, Stella', 'Salke, Nilesh P.', 'Prakapenka, Vitali', 'Somayazulu, Maddury', 'McBride, Raymond', 'Khalvashi-Sutter, Nugzari', 'Mostafaeipour, Faraz', 'Dissanayake, Sachith E.', 'Smith, G. Alexander', 'Xiao, Yuming', 'Smith, Dean']",2023/02/16,2023/02/22,['Superconductivity (cond-mat.supr-con)'],[],[],[]
['Leila Sloman'],2023-02-16,Quantum Field Theory Pries Open Mathematical Puzzle,2301.01121,The Euler characteristic of the moduli space of graphs,"['Borinsky, Michael', 'Vogtmann, Karen']",2023/01/03,2023/02/27,['Algebraic Topology (math.AT)'],"['Mathematical Physics (math-ph)', 'Group Theory (math.GR)']","18G85, 20F65, 20F28, 14T99, 20J06",[]
['Thomas Lewton'],2023-03-07,"Black Holes Will Destroy All Quantum States, Researchers Argue",2112.10798,Gravitationally Mediated Entanglement: Newtonian Field vs. Gravitons,"['Satishchandran, Gautam', 'Wald, Robert M.', 'Danielson, Daine L.']",2021/12/20,2023/01/08,['Quantum Physics (quant-ph)'],"['General Relativity and Quantum Cosmology (gr-qc)', 'High Energy Physics - Theory (hep-th)']",[],[]
['Thomas Lewton'],2023-03-07,"Black Holes Will Destroy All Quantum States, Researchers Argue",1807.07015,Quantum Superposition of Massive Objects and the Quantization of Gravity,"['Aspelmeyer, Markus', 'Castro-Ruiz, Esteban', 'Giacomini, Flaminia', 'Belenchia, Alessio', 'Brukner, Časlav', 'Wald, Robert M.']",2018/07/18,2018/12/19,['Quantum Physics (quant-ph)'],"['General Relativity and Quantum Cosmology (gr-qc)', 'High Energy Physics - Theory (hep-th)']",[],[]
['Thomas Lewton'],2023-03-07,"Black Holes Will Destroy All Quantum States, Researchers Argue",2301.00026,Killing Horizons Decohere Quantum Superpositions,"['Satishchandran, Gautam', 'Wald, Robert M.', 'Danielson, Daine L.']",2022/12/30,2022/12/30,['High Energy Physics - Theory (hep-th)'],"['General Relativity and Quantum Cosmology (gr-qc)', 'Quantum Physics (quant-ph)']",[],[]
['Thomas Lewton'],2023-03-07,"Black Holes Will Destroy All Quantum States, Researchers Argue",1601.00921,Soft Hair on Black Holes,"['Strominger, Andrew', 'Perry, Malcolm J.', 'Hawking, Stephen W.']",2016/01/05,2016/01/05,['High Energy Physics - Theory (hep-th)'],[],[],[]
['Thomas Lewton'],2023-03-07,"Black Holes Will Destroy All Quantum States, Researchers Argue",2205.06279,Black Holes Decohere Quantum Superpositions,"['Satishchandran, Gautam', 'Wald, Robert M.', 'Danielson, Daine L.']",2022/05/12,2022/11/28,['High Energy Physics - Theory (hep-th)'],"['General Relativity and Quantum Cosmology (gr-qc)', 'Quantum Physics (quant-ph)']",[],[]
['Steve Nadis'],2023-02-07,Researchers Discover a More Flexible Approach to Machine Learning,2006.04439,Liquid Time-constant Networks,"['Amini, Alexander', 'Rus, Daniela', 'Grosu, Radu', 'Lechner, Mathias', 'Hasani, Ramin']",2020/06/08,2020/12/14,['Machine Learning (cs.LG)'],"['Neural and Evolutionary Computing (cs.NE)', 'Machine Learning (stat.ML)']",[],[]
['Lyndie Chiou'],2023-03-28,"With AI, Astronomers Dig Up the Stars That Birthed the Milky Way",astro-ph/9911378,Where are the First Stars now?,"['Springel, Volker', 'White, Simon D. M.']",1999/11/19,1999/11/19,['Astrophysics (astro-ph)'],[],[],[]
['Lyndie Chiou'],2023-03-28,"With AI, Astronomers Dig Up the Stars That Birthed the Milky Way",2203.04980,From dawn till disk: Milky Way's turbulent youth revealed by the APOGEE+Gaia data,"['Belokurov, Vasily', 'Kravtsov, Andrey']",2022/03/09,2022/03/09,['Astrophysics of Galaxies (astro-ph.GA)'],[],[],[]
['Lyndie Chiou'],2023-03-28,"With AI, Astronomers Dig Up the Stars That Birthed the Milky Way",2203.04980,From dawn till disk: Milky Way's turbulent youth revealed by the APOGEE+Gaia data,"['Belokurov, Vasily', 'Kravtsov, Andrey']",2022/03/09,2022/03/09,['Astrophysics of Galaxies (astro-ph.GA)'],[],[],[]
['Lyndie Chiou'],2023-03-28,"With AI, Astronomers Dig Up the Stars That Birthed the Milky Way",2204.02989,Birth of the Galactic Disk Revealed by the H3 Survey,"['Chandra, Vedant', 'Caldwell, Nelson', 'Han, Jiwon Jesse', 'Naidu, Rohan P.', 'Cargile, Phillip', 'Speagle, Joshua S.', 'Johnson, Benjamin D.', 'Woody, Turner', 'Weinberg, David H.', 'Ting, Yuan-Sen', 'Johnson, James W.', 'Buck, Tobias', 'Zaritsky, Dennis', 'Bonaca, Ana', 'Conroy, Charlie']",2022/04/06,2022/04/06,['Astrophysics of Galaxies (astro-ph.GA)'],[],[],[]
['Leila Sloman'],2023-02-02,Mathematicians Prove This Knot Cannot Solve Major Problem,2207.14187,"The $(2,1)$-cable of the figure-eight knot is not smoothly slice","['Dai, Irving', 'Mallick, Abhishek', 'Stoffregen, Matthew', 'Kang, Sungkyung', 'Park, JungHwan']",2022/07/28,2022/07/28,['Geometric Topology (math.GT)'],[],"57K18, 57M12",[]
['Leila Sloman'],2023-02-02,Mathematicians Prove This Knot Cannot Solve Major Problem,2201.07299,Knot Floer homology and surgery on equivariant knots,"['Mallick, Abhishek']",2022/01/18,2022/01/18,['Geometric Topology (math.GT)'],[],"57M27, 57R58, 57R55",[]
['Leila Sloman'],2023-02-02,Mathematicians Prove This Knot Cannot Solve Major Problem,2201.01875,Equivariant knots and knot Floer homology,"['Dai, Irving', 'Stoffregen, Matthew', 'Mallick, Abhishek']",2022/01/06,2022/03/22,['Geometric Topology (math.GT)'],[],"57K18, 57R58, 57R55",[]
['Charlie Wood'],2023-03-23,Wormhole Experiment Called Into Question,1608.05687,Traversable Wormholes via a Double Trace Deformation,"['Wall, Aron C.', 'Gao, Ping', 'Jafferis, Daniel Louis']",2016/08/19,2019/09/24,['High Energy Physics - Theory (hep-th)'],[],[],[]
