quanta_author,quanta_pub_date,quanta_title,arxiv_id,title,authors,original_submission_date,most_recent_update_date,primary_subject,secondary_subject,primary-MSC,secondary_MSC
['Ben Brubaker'],2023-01-18,"Finally, a Fast Algorithm for Shortest Paths on Negative Graphs",2203.03456,Negative-Weight Single-Source Shortest Paths in Near-linear Time,"['Bernstein, Aaron', 'Nanongkai, Danupon', 'Wulff-Nilsen, Christian']",2022/03/07,2022/10/30,['Data Structures and Algorithms (cs.DS)'],[],[],[]
['Ben Brubaker'],2023-01-18,"Finally, a Fast Algorithm for Shortest Paths on Negative Graphs",2004.04496,Near-Optimal Decremental SSSP in Dense Weighted Digraphs,"['Bernstein, Aaron', 'Wulff-Nilsen, Christian', 'Gutenberg, Maximilian Probst']",2020/04/09,2020/09/04,['Data Structures and Algorithms (cs.DS)'],[],[],[]
['Ben Brubaker'],2022-11-23,AI Reveals New Possibilities in Matrix Multiplication,2210.04045,The FBHHRBNRSSSHK-Algorithm for Multiplication in $\mathbb{Z}_2^{5\times5}$ is still not the end of the story,"['Moosbauer, Jakob', 'Kauers, Manuel']",2022/10/08,2022/10/13,['Symbolic Computation (cs.SC)'],['Computational Complexity (cs.CC)'],[],[]
['Ben Brubaker'],2022-11-23,AI Reveals New Possibilities in Matrix Multiplication,2210.10173,Faster Matrix Multiplication via Asymmetric Hashing,"['Wu, Hongxun', 'Zhou, Renfei', 'Duan, Ran']",2022/10/18,2022/11/08,['Data Structures and Algorithms (cs.DS)'],[],[],[]
['Katie McCormick'],2022-12-05,Asymmetry Detected in the Distribution of Galaxies,2206.04227,Probing Parity-Violation with the Four-Point Correlation Function of BOSS Galaxies,"['Philcox, Oliver H. E.']",2022/06/09,2023/03/15,['Cosmology and Nongalactic Astrophysics (astro-ph.CO)'],"['General Relativity and Quantum Cosmology (gr-qc)', 'High Energy Physics - Theory (hep-th)']",[],[]
['Katie McCormick'],2022-12-05,Asymmetry Detected in the Distribution of Galaxies,2206.03625,Measurement of Parity-Odd Modes in the Large-Scale 4-Point Correlation Function of SDSS BOSS DR12 CMASS and LOWZ Galaxies,"['Slepian, Zachary', 'Cahn, Robert N.', 'Hou, Jiamin']",2022/06/08,2022/06/08,['Cosmology and Nongalactic Astrophysics (astro-ph.CO)'],"['General Relativity and Quantum Cosmology (gr-qc)', 'High Energy Physics - Theory (hep-th)', 'Data Analysis, Statistics and Probability (physics.data-an)']",[],[]
['Katie McCormick'],2022-12-05,Asymmetry Detected in the Distribution of Galaxies,2210.16320,Colliding Ghosts: Constraining Inflation with the Parity-Odd Galaxy Four-Point Function,"['Cabass, Giovanni', 'Ivanov, Mikhail M.', 'Philcox, Oliver H. E.']",2022/10/28,2023/03/15,['Cosmology and Nongalactic Astrophysics (astro-ph.CO)'],"['Astrophysics of Galaxies (astro-ph.GA)', 'General Relativity and Quantum Cosmology (gr-qc)', 'High Energy Physics - Phenomenology (hep-ph)', 'High Energy Physics - Theory (hep-th)']",[],[]
['Ben Brubaker'],2023-01-09,New Algorithm Closes Quantum Supremacy Window,2211.03999,A polynomial-time classical algorithm for noisy random circuit sampling,"['Liu, Yunchao', 'Aharonov, Dorit', 'Vazirani, Umesh', 'Landau, Zeph', 'Gao, Xun']",2022/11/08,2022/11/08,['Quantum Physics (quant-ph)'],[],[],[]
['Charlie Wood'],2023-03-23,Wormhole Experiment Called Into Question,1608.05687,Traversable Wormholes via a Double Trace Deformation,"['Gao, Ping', 'Wall, Aron C.', 'Jafferis, Daniel Louis']",2016/08/19,2019/09/24,['High Energy Physics - Theory (hep-th)'],[],[],[]
['Charlie Wood'],2023-03-23,Wormhole Experiment Called Into Question,1911.06314,Quantum Gravity in the Lab: Teleportation by Size and Traversable Wormholes,"['Brown, Adam R.', 'Nezami, Sepehr', 'Lin, Henry W.', 'Walter, Michael', 'Gharibyan, Hrant', 'Leichenauer, Stefan', 'Salton, Grant', 'Swingle, Brian', 'Susskind, Leonard']",2019/11/14,2021/02/01,['Quantum Physics (quant-ph)'],['High Energy Physics - Theory (hep-th)'],[],[]
