quanta_author,quanta_pub_date,quanta_title,arxiv_id,title,authors,original_submission_date,most_recent_update_date,primary_subject,secondary_subject,primary-MSC,secondary_MSC
['Kevin Hartnett'],2023-02-15,"To Teach Computers Math, Researchers Merge AI Approaches",2205.12615,Autoformalization with Large Language Models,"['Staats, Charles', 'Jamnik, Mateja', 'Li, Wenda', 'Wu, Yuhuai', 'Szegedy, Christian', 'Rabe, Markus N.', 'Jiang, Albert Q.']",2022/05/25,2022/05/25,['Machine Learning (cs.LG)'],"['Artificial Intelligence (cs.AI)', 'Logic in Computer Science (cs.LO)', 'Software Engineering (cs.SE)']",[],[]
['Kevin Hartnett'],2023-02-15,"To Teach Computers Math, Researchers Merge AI Approaches",2206.14858,Solving Quantitative Reasoning Problems with Language Models,"['Neyshabur, Behnam', 'Schlag, Imanol', 'Slone, Ambrose', 'Misra, Vedant', 'Michalewski, Henryk', 'Lewkowycz, Aitor', 'Andreassen, Anders', 'Dohan, David', 'Gur-Ari, Guy', 'Dyer, Ethan', 'Wu, Yuhuai', 'Gutman-Solo, Theo', 'Ramasesh, Vinay', 'Anil, Cem']",2022/06/29,2022/07/01,['Computation and Language (cs.CL)'],"['Artificial Intelligence (cs.AI)', 'Machine Learning (cs.LG)']",[],[]
['Leila Sloman'],2023-03-21,Surprise Computer Science Proof Stuns Mathematicians,2302.05537,Strong Bounds for 3-Progressions,"['Meka, Raghu', 'Kelley, Zander']",2023/02/10,2023/02/10,['Number Theory (math.NT)'],['Combinatorics (math.CO)'],[],[]
['Leila Sloman'],2023-03-21,Surprise Computer Science Proof Stuns Mathematicians,2302.07211,The Kelley--Meka bounds for sets free of three-term arithmetic progressions,"['Bloom, Thomas F.', 'Sisask, Olof']",2023/02/14,2023/02/14,['Number Theory (math.NT)'],['Combinatorics (math.CO)'],[],[]
['Steve Nadis'],2023-01-24,Mathematicians Find an Infinity of Possible Black Hole Shapes,2212.06762,Black Lenses in Kaluza-Klein Matter,"['Rainone, Jordan F.', 'Khuri, Marcus A.']",2022/12/13,2022/12/13,['General Relativity and Quantum Cosmology (gr-qc)'],"['High Energy Physics - Theory (hep-th)', 'Differential Geometry (math.DG)']",[],[]
['Steve Nadis'],2023-01-24,Mathematicians Find an Infinity of Possible Black Hole Shapes,2212.06762,Black Lenses in Kaluza-Klein Matter,"['Rainone, Jordan F.', 'Khuri, Marcus A.']",2022/12/13,2022/12/13,['General Relativity and Quantum Cosmology (gr-qc)'],"['High Energy Physics - Theory (hep-th)', 'Differential Geometry (math.DG)']",[],[]
['Steve Nadis'],2023-01-24,Mathematicians Find an Infinity of Possible Black Hole Shapes,2012.00381,On the nonexistence of a vacuum black lens,"['Lucietti, James', 'Tomlinson, Fred']",2020/12/01,2021/01/28,['General Relativity and Quantum Cosmology (gr-qc)'],['High Energy Physics - Theory (hep-th)'],[],[]
['Rebecca Boyle'],2023-01-20,Standard Model of Cosmology Survives JWST’s Surprising Finds,1603.00461,A Remarkably Luminous Galaxy at z=11.1 Measured with Hubble Space Telescope Grism Spectroscopy,"['Gonzalez, V.', 'van Dokkum, P. G.', 'Franx, M.', 'Labbe, I.', 'Ashby, M. L. N.', 'Fazio, G. G.', 'Holden, B.', 'Spitler, L. R.', 'Smit, R.', 'Trenti, M.', 'Brammer, G.', 'Magee, D.', 'Skelton, R. E.', 'Illingworth, G. D.', 'Willner, S. P.', 'Momcheva, I.', 'Bouwens, R. J.', 'Oesch, P. A.']",2016/03/01,2016/03/01,['Astrophysics of Galaxies (astro-ph.GA)'],[],[],[]
['Rebecca Boyle'],2023-01-20,Standard Model of Cosmology Survives JWST’s Surprising Finds,2207.09434,Two Remarkably Luminous Galaxy Candidates at $z\approx10-12$ Revealed by JWST,"['Weibel, Andrea', 'Illingworth, Garth', 'Bezanson, Rachel', 'Tacchella, Sandro', 'Leonova, Ecaterina', 'Setton, David J.', 'Nelson, Erica J.', 'Stefanon, Mauro', 'Oesch, Pascal A.', 'Bouwens, Rychard', 'Matthee, Jorryt', 'Naidu, Rohan P.', 'Magee, Dan', 'Leja, Joel', 'Suess, Katherine A.', 'Conroy, Charlie', 'Weaver, John R.', 'Toft, Sune', 'Strait, Victoria', 'Brammer, Gabriel', 'Labbe, Ivo', 'van Dokkum, Pieter', 'Whitaker, Katherine E.', 'Allen, Natalie', 'Price, Sedona H.']",2022/07/19,2022/10/25,['Astrophysics of Galaxies (astro-ph.GA)'],[],[],[]
['Rebecca Boyle'],2023-01-20,Standard Model of Cosmology Survives JWST’s Surprising Finds,2208.02794,"Schrodinger's Galaxy Candidate: Puzzlingly Luminous at $z\approx17$, or Dusty/Quenched at $z\approx5$?","['Weibel, Andrea', 'Bezanson, Rachel', 'Leonova, Ecaterina', 'van der Wel, Arjen', 'Setton, David J.', 'Bouwens, Rychard J.', 'Dayal, Pratika', 'Johnson, Benjamin D.', 'Brammer, Gabriel B.', 'Marques-Chaves, Rui', 'Stefanon, Mauro', 'Oesch, Pascal A.', 'Bose, Sownak', 'Belli, Sirio', 'Matthee, Jorryt', 'Naidu, Rohan P.', 'Leja, Joel', 'Weaver, John R.', 'Conroy, Charlie', 'Heintz, Kasper E.', 'Toft, Sune', 'Illingworth, Garth D.', 'van Dokkum, Pieter', 'Whitaker, Katherine E.', 'Barrufet, Laia']",2022/08/04,2022/08/04,['Astrophysics of Galaxies (astro-ph.GA)'],[],[],[]
['Rebecca Boyle'],2023-01-20,Standard Model of Cosmology Survives JWST’s Surprising Finds,2210.14915,Has JWST already falsified dark-matter-driven galaxy formation?,"['Zonoozi, Akram Hasani', 'Haghi, Hosein', 'Haslbauer, Moritz', 'Kroupa, Pavel']",2022/10/26,2022/10/26,['Astrophysics of Galaxies (astro-ph.GA)'],['Cosmology and Nongalactic Astrophysics (astro-ph.CO)'],[],[]
['Rebecca Boyle'],2023-01-20,Standard Model of Cosmology Survives JWST’s Surprising Finds,2208.01816,Dusty Starbursts Masquerading as Ultra-high Redshift Galaxies in JWST CEERS Observations,"['Pirzkal, Nor', 'Aretxaga, Itziar', 'Calabro, Antonello', 'Burgarella, Denis', 'Grogin, Norman A.', 'Lotz, Jennifer M.', 'Bagley, Micaela B.', 'Bail, Aurélien Le', 'Yung, L. Y. Aaron', 'Fernández, Vital', 'Bell, Eric F.', 'Dave, Romeel', 'Gardner, Jonathan P.', 'Ciesla, Laure', 'Behroozi, Peter', 'Grazian, Andrea', 'Kurczynski, Peter', 'Leung, Gene C. K.', 'Merlin, Emiliano', ""Jim'enez-Andrade, E. F."", 'Snyder, Gregory F.', 'Somerville, Rachel S.', 'Cooke, Kevin C.', 'Holwerda, Benne W.', 'Jha, Saurabh W.', 'Huertas-Company, Marc', 'Franco, Maximilien', 'Seillé, Lise-Marie', 'Vanderhoof, Brittany N.', 'Perez-Gonzalez, Pablo G.', 'Straughn, Amber N.', 'Vega-Ferrero, Jesús', 'Murphy, E. J.', 'Bisigello, Laura', 'Zavala, Jorge A.', 'Chworowsky, Katherine', 'Hutchison, Taylor A.', 'Koekemoer, Anton M.', 'Dekel, Avishai', 'Jaskot, Anne E.', 'Shen, Lu', 'Freundlich, Jonathan', 'Kirkpatrick, Allison', 'Willmer, Christopher N. A.', 'Hamilton, Timothy S.', 'Finkelstein, Keely D.', 'Haro, Pablo Arrabal', 'Cooray, Asantha R.', 'Morales, Alexa M.', 'Ortiz, Oscar A. Chavez', 'de la Vega, Alexander', 'Cohen, Seth H.', 'García-Argumánez, Ángela', 'Lucas, Ray A.', 'Cleri, Nikko J.', 'Dickinson, Mark', 'Cox, Isabella G.', 'Cooper, M. C.', 'Hirschmann, Michaela', 'Santini, Paola', 'Kartaltepe, Jeyhan S.', 'Champagne, Jaclyn B.', 'Yang, Guang', 'Weiner, Benjamin J.', 'Ryan Jr., Russell E.', 'Almaini, Omar', 'Finkelstein, Steven L.', 'Larson, Rebecca L.', 'Elbaz, David', 'Stanway, Elizabeth R.', 'Kocevski, Dale D.', 'Kewley, Lisa J.', 'Iyer, Kartheik G.', 'Barro, Guillermo', 'Buat, Veronique', 'Castellano, Marco', 'Rafelski, Marc', 'Tacchella, Sandro', 'Teplitz, Harry I.', 'Papovich, Casey', 'Medrano, Aubrey', 'Trump, Jonathan R.', 'Croton, Darren', 'Amorin, Ricardo O.', 'Giavalisco, Mauro', 'Fujimoto, Seiji', 'Wang, Weichen', 'Casey, Caitlin M.', 'Magnelli, Benjamin', 'Costantin, Luca', 'Buitrago, Fernando', 'Mantha, Kameswara Bharadwaj', 'Cole, Justin W.', 'Guo, Yuchen', 'Juneau, Stéphanie', 'Wuyts, Stijn', 'Ravindranath, Swara', 'Mobasher, Bahram', 'Pandya, Viraj', 'Ferguson, Henry C.', 'Newman, Jeffrey A.', 'Matharu, Jasleen', 'McIntosh, Daniel H.', 'Wilkins, Stephen M.', 'Jogee, Shardha', 'Long, Arianna', 'Jung, Intae', 'Rose, Caitlin', 'Gómez-Guijarro, Carlos', 'Annunziatella, Marianna', 'McGrath, Elizabeth J.', 'Backhaus, Bren E.', 'Nicholls, David C.', 'Pentericci, Laura', 'Daddi, Emanuele', 'Kassin, Susan A.', 'Gawiser, Eric', 'Hathi, Nimish P.', 'Fontana, Adriano', 'Simons, Raymond C.', 'Estrada-Carpenter, Vicente', 'Ronayne, Kaila', 'Bhatawdekar, Rachana', 'Shah, Ekta A.']",2022/08/03,2023/01/30,['Astrophysics of Galaxies (astro-ph.GA)'],[],[],[]
