,location,latitude,longitude,driving duration,driving distance,geoDistance
0,UIC,41.868922299999994,-87.64858476010119,38327.6,969976.0,14908.376328727347 km
1,WFU,,,,,
2,Wake Forest University,36.134335,-80.2781152,22898.0,598605.9,14213.79292063745 km
3,University of St. Thomas,44.942105,-93.18958430494229,60207.4,1624849.7,15291.407910580174 km
4,Western Kentucky University,36.984528999999995,-86.4576470016944,12737.9,317617.9,14358.894073281113 km
5,Washington & Lee University,37.7929993,-79.44773490479687,25112.1,661025.8,14389.953770377815 km
6,University of Kentucky,38.027038,-84.5048374161113,17471.3,445795.9,14458.217100080337 km
7,George Mason University,38.83133325,-77.30798838879116,35293.6,934725.1,14486.232096226191 km
8,West Virginia University,38.0325977,-78.49631828743813,28723.6,762152.7,14408.265314729535 km
9,University of Kentucky,38.027038,-84.5048374161113,17471.3,445795.9,14458.217100080337 km
10,University of Michigan,42.2942142,-83.71003893509601,38067.4,977537.4,14923.231415671738 km
11,University of South Carolina,33.99287595,-81.02675376219187,20634.5,532033.5,13983.565079454129 km
12,Pennsylvania State University,40.8025835,-77.85593833184565,43389.4,1118614.2,14708.725479369548 km
13,Clemson University,34.66869155,-82.83743475607795,14558.5,363577.4,14073.365469779643 km
14,University of Wyoming,41.3144774,-105.56432285957351,80043.2,2208734.4,14975.12644762922 km
15,University of Kansas,38.953491799999995,-95.26308879955823,44838.5,1175906.3,14644.325193406587 km
16,Texas Tech University,33.59375255,-101.89959552302756,65535.9,1828011.6,14097.218551511498 km
17,University of Georgia,33.9404278,-83.37304904988295,11897.4,279469.4,13997.345416238553 km
18,University of Texas at Tyler,32.316307800000004,-95.25369943794593,41631.5,1125483.7,13910.218946709949 km
19,University of Florida,29.6328784,-82.34901329340119,27415.4,720090.0,13513.060107713558 km
20,Michigan State University,42.7024238,-84.48032837503001,41490.6,1072403.7,14974.726986711441 km
21,Michigan State University,42.7024238,-84.48032837503001,41490.6,1072403.7,14974.726986711441 km
22,Davidson College,35.5032193,-80.83393027613258,22813.8,552427.0,14148.778668819414 km
23,Rice University,29.716791450000002,-95.40478113393792,48902.3,1321302.6,13623.922047478462 km
24,UW Madison,43.080274450000005,-89.43095871991434,45548.9,1214316.0,15056.467701738893 km
25,University of North Carolina at Chapel Hill,35.90503535,-79.04775326525107,28936.3,714853.1,14177.982765695442 km
26,Texas State University,29.8910941,-97.93768392991333,58135.4,1553793.2,13661.065419867182 km
27,Michigan State University,42.7024238,-84.48032837503001,41490.6,1072403.7,14974.726986711441 km
28,The University of Georgia,33.79083585,-84.27863490021281,8320.4,193968.8,13988.271032584438 km
29,Indiana University,41.704567749999995,-86.23822026017265,37291.9,905522.3,14878.831886902608 km
30,University of Arkansas,36.09352375,-94.17708979491738,38656.3,1059474.6,14320.03751001657 km
31,University of Virginia,38.0410576,-78.50549960183568,28794.5,763704.9,14409.278782991563 km
32,Ohio State University,40.00570905,-83.02866465596318,29242.5,751234.3,14664.659368770777 km
33,University of Nebraska Lincoln,40.8305567,-96.6697373,54128.8,1426254.0,14862.164512161533 km
34,Clemson University,34.66869155,-82.83743475607795,14558.5,363577.4,14073.365469779643 km
35,University of Dubuque,42.495065,-90.6965390386926,45967.6,1226078.4,15001.652019282958 km
36,College of St. Benedict and St. John's University,,,,,
37,University of TennesseeChattanooga,,,,,
38,University of Tennessee at Chattanooga,,,,,
39,University of Tennessee at Chattanooga,,,,,
