,location,latitude,longitude,driving duration,driving distance,geoDistance
208,Courant Institute of Mathematical SciencesNew York University,,,,,
209,Princeton University,40.33867515,-74.65836549131683,16203.4,355274.1,15123.14910227799 km
210,Dartmouth College,43.70526735,-72.29052293092106,7126.3,170599.0,15387.65593258199 km
211,North Carolina State University,35.7714749,-78.6741935,44761.7,1096641.9,14782.171919014696 km
212,Amherst College,42.3703768,-72.5160691823344,341.0,3271.8,15259.733395896985 km
213,University of British Columbia,38.90893925,-77.07457962060826,27979.5,643471.0,15055.19113655762 km
214,Dartmouth College,43.70526735,-72.29052293092106,7126.3,170599.0,15387.65593258199 km
215,Université du Québec à Montréal,,,,,
216,Brown University,41.8186395,-71.4088008716793,6893.1,144288.0,15166.832609151292 km
217,University of Michigan,42.2942142,-83.71003893509601,43948.0,1090441.0,15615.508372878772 km
218,TU Berlin,47.6494073,-122.3475007,174702.5,4853791.2,17125.623139710442 km
219,Harvard University,42.36790855,-71.12678237443698,7089.9,147479.6,15213.314277533374 km
220,University of Kentucky,38.027038,-84.5048374161113,56269.4,1427783.9,15199.447698634425 km
221,Princeton University,40.33867515,-74.65836549131683,16203.4,355274.1,15123.14910227799 km
222,Worcester Polytechnic Instituite,,,,,
223,University of Massachusetts Amherst,42.3869382,-72.52991477067445,54.6,485.8,15261.87653007236 km
224,University of Massachusetts Amherst,42.3869382,-72.52991477067445,54.6,485.8,15261.87653007236 km
225,The College of New Jersey,40.26855155,-74.77797683337279,16925.9,370253.3,15119.894373608931 km
226,Milwaukee School of Engineering,43.04576595,-87.9079361465609,63923.0,1614108.3,15823.3020274792 km
227,Reed College,45.48149925,-122.63101360753458,174496.7,4859501.0,16892.02409124451 km
228,Cornell University,42.450550699999994,-76.47835129554275,19063.5,422797.3,15398.598288705527 km
229,Utah State University,41.752724400000005,-111.80870207280226,136469.9,3684564.2,16307.625811175307 km
230,University of Western Ontario,,,,,
231,Renyi Institute of Mathematics,,,,,
232,Stanford University,37.431313849999995,-122.16936535498309,176964.3,4923342.2,16002.261712009296 km
233,Carnegie Mellon University,40.444189699999995,-79.94271918393466,36203.7,884344.3,15305.63699206521 km
234,Emory University,33.80045465,-84.31723780466274,66808.8,1669036.9,14752.595336398164 km
235,Miami University,39.5094198,-84.7311545671451,52276.8,1324848.9,15360.244386170985 km
236,Purdue University,40.43002715,-86.92641792444294,56924.2,1431556.0,15523.114762946132 km
237,University of Puerto Rico,,,,,
238,National Science Foundation,38.801565049999994,-77.07040331905415,28780.3,652258.2,15043.997942256166 km
239,Brown University,41.8186395,-71.4088008716793,6893.1,144288.0,15166.832609151292 km
240,University of Pennsylvania,39.9493382,-75.18964402998125,18973.2,426398.0,15100.675353085806 km
241,University of Massachusetts Amherst,42.3869382,-72.52991477067445,54.6,485.8,15261.87653007236 km
242,Rice University,29.716791450000002,-95.40478113393792,111540.1,2903911.8,14636.089348643869 km
243,North Carolina State University,35.7714749,-78.6741935,44761.7,1096641.9,14782.171919014696 km
244,McMaster University,41.6624867,-83.61162385335275,43570.8,1107644.6,15547.507886635147 km
245,University of CaliforniaLos Angeles,,,,,
246,Boston College,42.3354481,-71.16813864023061,7084.4,144322.4,15211.392149233612 km
247,Massachusetts Institute of Technology,42.3582529,-71.0966272383055,7173.3,148668.7,15211.329502755061 km
248,Brandeis University,42.36650945,-71.2580196483813,6825.8,139638.1,15217.53941275935 km
249,Temple University,39.981188,-75.15628280757346,18927.3,425887.2,15102.8486567147 km
250,University of Pennsylvania,39.9493382,-75.18964402998125,18973.2,426398.0,15100.675353085806 km
251,MIT,42.3582529,-71.0966272383055,7173.3,148668.7,15211.329502755061 km
252,Virginia Tech,37.22192675,-80.42728184013652,43811.2,1060106.7,14988.368777580901 km
253,Roma Tre University,,,,,
254,University of Vermont,44.4737365,-73.19414679705882,12099.0,302485.7,15495.378327082673 km
255,Northeastern University,42.3390301,-71.08791294953176,7165.6,149340.9,15209.086149159402 km
256,Dartmouth College,43.70526735,-72.29052293092106,7126.3,170599.0,15387.65593258199 km
257,University of Western Ontario,,,,,
258,Union College,42.8175752,-73.92839165453219,8094.6,187926.4,15351.970844121308 km
259,University of Virginia,38.0410576,-78.50549960183568,36599.6,820007.2,15011.846250497088 km
260,University of Kentucky,38.027038,-84.5048374161113,56269.4,1427783.9,15199.447698634425 km
261,Dartmouth College,43.70526735,-72.29052293092106,7126.3,170599.0,15387.65593258199 km
262,Bowdoin College,43.90825,-69.9616745820036,14899.4,323081.6,15330.54755309738 km
263,Amherst College,42.3703768,-72.5160691823344,341.0,3271.8,15259.733395896985 km
